,complex,gene_names
1228,116,MSH5
1229,116,GPS2
1230,117,DHX15
1231,117,SF3B1
1232,117,SNRPB
1233,117,SNRPE
1234,117,SNRPF
1235,117,SNRPG
1236,117,SNRPD1
1237,117,SNRPD2
1238,117,SNRPD3
1239,117,YBX1
1240,117,SF3B2
1241,117,SF3B3
1242,117,SF3B4
1243,117,ZRSR2
1244,117,SNRNP35
1245,117,SNRNP48
1246,117,PRPF8
1247,117,PDCD7
1248,117,ZCRB1
1249,117,RNPC3
1250,117,SNRNP25
1251,117,SF3B5
1252,117,ZMAT5
1253,117,SF3B6
1254,118,HSPA1A
1255,118,NOS1
1256,118,STUB1
1257,119,NBN
1258,119,MLH1
1259,119,MRE11A
1260,119,MSH6
1261,119,ATM
1262,119,RFC2
1263,119,BLM
1264,119,MSH2
1265,119,BRCA1
1266,119,RAD50
1267,119,RFC4
1268,119,RFC1
1269,120,RFC4
1270,120,RFC2
1271,120,RFC1
1272,120,BRCA1
1273,120,MLH1
1274,120,ATM
1275,121,MSH6
1276,121,BRCA1
1277,121,RAD50
1278,122,SUPT3H
1279,122,TADA3
1280,122,TAF5L
1281,122,BRCA1
1282,122,MSH2
1283,122,MSH6
1284,122,TAF10
1285,122,TAF9
1286,122,KAT2A
1287,122,TRRAP
1288,123,MED14
1289,123,MED24
1290,123,ESR1
1291,123,MED1
1292,123,KAT2A
1293,123,MED12
1294,123,MED17
1295,123,MED13
1296,123,MED23
1297,123,MED16
1298,123,TRRAP
1299,124,BACH1
1300,124,SMAD9
1301,124,GJB6
1302,124,PSMC3
1303,124,ERCC3
1304,124,MXI1
1305,124,KLF10
1306,124,TGFBI
1307,125,TAF9B
1308,125,ATXN7
1309,125,TAF7
1310,125,TAF4
1311,125,SF3B3
1312,125,TAF6
1313,125,TAF13
1314,125,TADA3
1315,125,SUPT7L
1316,125,TAF5L
1317,125,KAT2A
1318,125,TAF10
1319,125,TAF2
1320,125,TAF5
1321,125,TAF9
1322,125,SUPT3H
1323,125,TAF12
1324,125,TADA1
1325,125,TRRAP
1326,125,TAF6L
1327,126,CRB1
1328,126,MPP5
1329,126,PATJ
1330,127,CRB1
1331,127,MPP5
1332,127,MPP4
1333,128,SUPT3H
1334,128,TAF9
1335,128,KAT2A
1336,129,WIPF1
1337,129,MYL12A
1338,129,MYH9
1339,129,WAS
1340,129,MYL6
1341,129,ACTA2
1342,130,GTF2A1
1343,130,TERF2
1344,130,GTF2A2
1345,131,PRKAR2A
1346,131,AKAP5
1347,131,PPP3CA
1348,132,PRKACA
1349,132,AKAP12
1350,132,PDE4D
1351,133,PRKAR2B
1352,133,AKAP1
1353,133,MYCBP
1354,134,PRKAR2A
1355,134,PRKACA
1356,134,KCNQ1
1357,134,PPP1CA
1358,134,AKAP9
1359,135,PKD1
1360,135,FLOT2
1361,135,CDH1
1362,135,CTNNB1
1363,136,MORF4L1
1364,136,RUVBL1
1365,136,DMAP1
1366,136,KAT5
1367,136,TRRAP
1368,136,EPC1
1369,136,ACTL6A
1370,136,RUVBL2
1371,137,MYC
1372,137,RUVBL1
1373,137,KAT5
1374,137,TRRAP
1375,137,ACTL6A
1376,137,RUVBL2
1377,138,MRGBP
1378,138,MEAF6
1379,138,KAT5
1380,138,EP400
1381,138,YEATS4
1382,138,BRD8
1383,138,DMAP1
1384,138,MORF4L2
1385,138,ING3
1386,138,MORF4L1
1387,138,RUVBL1
1388,138,EPC1
1389,138,TRRAP
1390,138,RUVBL2
1391,138,ACTL6A
1392,138,VPS72
1393,138,EPC2
1394,139,ERCC1
1395,139,XPA
1396,139,ERCC4
1397,140,MPHOSPH10
1398,140,IMP4
1399,140,IMP3
1400,141,TRPC1
1401,141,TRPC3
1402,141,TRPC7
1403,142,IGF1
1404,142,IGFBP3
1405,142,IGFALS
1406,143,NOSTRIN
1407,143,NOS3
1408,143,CAV1
1409,144,DNTT
1410,144,HIST1H4A
1411,144,HIST1H3A
1412,144,HIST2H2AC
1413,144,HIST2H2BE
